gameId,playId,nflId,pff_role,pff_positionLinedUp,pff_nflIdBlockedPlayer,pff_blockType,pff_backFieldBlock
2021090900,97,25511,Pass,QB,,,
2021090900,97,35481,Pass Route,TE-L,,,
2021090900,97,35634,Pass Route,LWR,,,
2021090900,97,39985,Pass Route,HB-R,,,
2021090900,97,40151,Pass Block,C,44955,SW,0
2021090900,97,41233,Pass Route,RWR,,,
2021090900,97,41263,Pass Rush,LEO,,,
2021090900,97,42377,Pass Block,LT,42403,PP,0
2021090900,97,42403,Pass Rush,ROLB,,,
2021090900,97,42404,Pass Block,LG,44955,PP,0
2021090900,97,43306,Coverage,ROLB,,,
2021090900,97,43478,Coverage,RCB,,,
2021090900,97,44896,Pass Route,SLWR,,,
2021090900,97,44904,Coverage,SCBR,,,
2021090900,97,44955,Pass Rush,DRT,,,
2021090900,97,44962,Coverage,FS,,,
2021090900,97,46163,Pass Block,RG,53441,SW,0
2021090900,97,47996,Coverage,LILB,,,
2021090900,97,52421,Pass Block,RT,53441,PP,0
2021090900,97,52459,Coverage,LCB,,,
2021090900,97,53441,Pass Rush,LILB,,,
2021090900,97,53504,Pass Rush,RE,,,
2021090900,137,35441,Pass Rush,DRT,,,
2021090900,137,35454,Pass Rush,ROLB,,,
2021090900,137,37082,Pass Block,LT,35454,PT,0
2021090900,137,38588,Coverage,RLB,,,
2021090900,137,40074,Pass Rush,LEO,,,
2021090900,137,41915,Coverage,SCBoL,,,
2021090900,137,42347,Pass Route,SLWR,,,
2021090900,137,42654,Pass Block,RT,40074,PP,0
2021090900,137,43293,Pass Route,RWR,,,
2021090900,137,43424,Pass,QB,,,
2021090900,137,45532,Pass Route,SRoWR,,,
2021090900,137,46081,Pass Rush,DLT,,,
2021090900,137,46119,Pass Block,LG,35441,SW,0
2021090900,137,46132,Coverage,LCB,,,
2021090900,137,46206,Pass Route,SRiWR,,,
2021090900,137,47788,Coverage,SCBiL,,,
2021090900,137,47822,Coverage,RCB,,,
2021090900,137,47873,Pass Block,RG,46081,PP,0
2021090900,137,52425,Pass Route,LWR,,,
2021090900,137,52453,Coverage,FS,,,
2021090900,137,52554,Pass Block,C,35441,PP,0
2021090900,137,53461,Pass Rush,SCBR,,,
2021090900,187,35441,Pass Rush,LILB,,,
2021090900,187,35454,Pass Rush,REO,,,
2021090900,187,37082,Pass Block,LT,35454,PP,0
2021090900,187,38588,Pass Rush,RILB,,,
2021090900,187,41915,Coverage,SCBiL,,,
2021090900,187,42347,Pass Route,RWR,,,
2021090900,187,42654,Pass Block,RT,35441,CL,0
2021090900,187,43424,Pass,QB,,,
2021090900,187,45532,Pass Route,SRoWR,,,
2021090900,187,46081,Pass Rush,DRT,,,
2021090900,187,46119,Pass Block,LG,46081,PP,0
2021090900,187,46132,Coverage,LCB,,,
2021090900,187,46150,Pass Route,LWR,,,
2021090900,187,46206,Pass Route,SRiWR,,,
2021090900,187,47788,Coverage,LILB,,,
2021090900,187,47822,Coverage,SCBiL,,,
2021090900,187,47873,Pass Block,RG,35441,PP,0
2021090900,187,47877,Coverage,RCB,,,
2021090900,187,47882,Coverage,SSR,,,
2021090900,187,52425,Pass Route,HB-R,,,
2021090900,187,52453,Coverage,FS,,,
2021090900,187,52554,Pass Block,C,46081,CL,0
2021090900,282,34777,Pass Rush,DRT,,,
2021090900,282,35454,Coverage,SCBR,,,
